zip,metro,0br,1br,2br,3br,4br
75336,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75339,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75342,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75354,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75355,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75356,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75357,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75360,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75367,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75370,"Dallas, TX HUD Metro FMR Area",1200,1330,1580,2040,2700
75371,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75372,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75374,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75376,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75378,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75379,"Dallas, TX HUD Metro FMR Area",1200,1330,1580,2040,2700
75380,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75381,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75382,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75390,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75398,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75401,"Dallas, TX HUD Metro FMR Area",770,850,1010,1300,1730
75402,"Dallas, TX HUD Metro FMR Area",840,920,1100,1420,1880
75403,"Dallas, TX HUD Metro FMR Area",810,900,1070,1380,1830
75404,"Dallas, TX HUD Metro FMR Area",810,900,1070,1380,1830
75407,"Dallas, TX HUD Metro FMR Area",1040,1150,1370,1770,2340
75409,"Dallas, TX HUD Metro FMR Area",1500,1650,1970,2540,3370
75422,"Dallas, TX HUD Metro FMR Area",840,920,1100,1420,1880
75423,"Dallas, TX HUD Metro FMR Area",880,970,1160,1500,1980
75424,"Dallas, TX HUD Metro FMR Area",1010,1120,1330,1720,2270
